"","ID","year"
"1",1,2002
"2",2,1986
"3",3,2017
"4",4,1988
"5",5,2008
"6",6,1983
"7",7,2008
"8",8,1996
"9",9,2004
"10",10,2000
"11",11,1994
"12",12,1995
"13",13,2015
"14",14,1978
"15",15,1974
"16",16,2015
"17",17,2016
"18",18,1996
"19",19,1983
"20",20,1971
"21",21,1981
"22",22,1976
"23",23,1998
"24",24,2017
"25",25,1979
"26",26,1979
"27",27,1993
"28",28,2006
"29",29,1988
"30",30,1978
"31",31,2013
"32",32,1976
"33",33,1979
"34",34,1985
"35",35,1985
"36",36,2015
"37",37,1962
"38",38,1999
"39",39,2015
"40",40,1990
"41",41,1992
"42",42,1997
"43",43,2018
"44",44,2015
"45",45,1997
"46",46,2017
"47",47,1982
"48",48,1988
"49",49,2006
"50",50,2017
